tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Government,1270,University of Maryland,Timothy,,Fairbank,1881138,2,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Melanie,,Faith,1156120,17,average,TEACHER,PROFESSOR,3.1
Business,1270,University of Maryland,Temitope,,Fajingbesi,2677263,1,poor,TEACHER,PROFESSOR,1.0
Chemistry,1270,University of Maryland,Daniel,,Falvey,1379825,19,good,TEACHER,PROFESSOR,4.2
Languages,1270,University of Maryland,Giuseppe,,Falvo,483098,9,good,TEACHER,PROFESSOR,4.8
Family Studies,1270,University of Maryland,Patricia,,Fanflik,1308005,4,good,TEACHER,PROFESSOR,4.8
Communication,1270,University of Maryland,Sumin,,Fang,2215146,5,good,TEACHER,PROFESSOR,4.0
Philosophy,1270,University of Maryland,Ryan,,Fanselow,1115642,3,good,TEACHER,PROFESSOR,4.0
Journalism,1270,University of Maryland,Manny,,Fantis,1836366,1,good,TEACHER,PROFESSOR,4.5
English,1270,University of Maryland,Sara,,Faradji,2204400,5,good,TEACHER,PROFESSOR,4.4
Public Health,1270,University of Maryland,Farah,,Farahati,2208114,1,good,TEACHER,PROFESSOR,5.0
Marketing,1270,University of Maryland,Ali,,Faraji-Rad,2495714,0,zero,TEACHER,PROFESSOR,N/A
Business,1270,University of Maryland,Bagher,,Fardanesh,2329920,2,good,TEACHER,PROFESSOR,4.5
Business,1270,University of Maryland,Crystal,,Farh,1457395,0,zero,TEACHER,PROFESSOR,N/A
Honors,1270,University of Maryland,Jason,,Farman,2209306,1,good,TEACHER,PROFESSOR,5.0
Public Policy,1270,University of Maryland,Amir,,Farmanesh,1546053,6,good,TEACHER,PROFESSOR,4.8
Astronomy,1270,University of Maryland,Tony,,Farnham,935682,2,good,TEACHER,PROFESSOR,4.2
Geology,1270,University of Maryland,James,,Farquhar,2716546,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Anne,,Farris-Rosen,2268694,3,good,TEACHER,PROFESSOR,3.7
Communication,1270,University of Maryland,Alyson,,Farzad,2262312,8,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Marsha,,Fausti,942820,7,poor,TEACHER,PROFESSOR,2.2
Mechanical Engineering,1270,University of Maryland,Mohammad,,Fazelpour,2435127,16,good,TEACHER,PROFESSOR,3.7
Public Policy,1270,University of Maryland,Mathew,,Feehan,2464845,4,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Brooke,,Feichtl,2241486,2,poor,TEACHER,PROFESSOR,1.5
Journalism,1270,University of Maryland,Hazel,,Feigenblatt,2656924,1,average,TEACHER,PROFESSOR,3.0
English Language & Literature,1270,University of Maryland,Merrill,,Feitell,1082847,4,good,TEACHER,PROFESSOR,4.8
Theater,1270,University of Maryland,Leslie,,Felbain,2125030,2,average,TEACHER,PROFESSOR,3.0
Health Science,1270,University of Maryland,R.,,Feldman,1123320,6,poor,TEACHER,PROFESSOR,2.2
Linguistics,1270,University of Maryland,Naomi,,Feldman,2684649,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Mark,,Feldstein,2495779,9,good,TEACHER,PROFESSOR,3.9
Economics,1270,University of Maryland,Salih,,Fendoglu,1318048,4,good,TEACHER,PROFESSOR,4.5
Dance,1270,University of Maryland,Xuejuan,,Feng,1817807,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1270,University of Maryland,Ruyun,,Feng,2273554,4,good,TEACHER,PROFESSOR,5.0
Geography,1270,University of Maryland,Kuishuang,,Feng,2838487,1,good,TEACHER,PROFESSOR,4.0
Information Science,1270,University of Maryland,Katrina,,Fenlon,2499496,2,good,TEACHER,PROFESSOR,4.5
Biochemistry,1270,University of Maryland,Catherine,,Fenselau,1268402,1,poor,TEACHER,PROFESSOR,1.5
Biology,1270,University of Maryland,Charles,,Fenster,148357,11,average,TEACHER,PROFESSOR,2.9
Physics,1270,University of Maryland,Raymond,,Fermo,2489951,4,poor,TEACHER,PROFESSOR,1.2
Mathematics,1270,University of Maryland,Jonathan,,Fernandes,2432063,18,good,TEACHER,PROFESSOR,4.2
Design,1270,University of Maryland,Alberto,,Fernandez,1823187,1,good,TEACHER,PROFESSOR,5.0
Business,1270,University of Maryland,Rosellina,,Ferraro,2217521,1,good,TEACHER,PROFESSOR,4.0
Public Policy,1270,University of Maryland,Steve,,Fetter,1045435,0,zero,TEACHER,PROFESSOR,N/A
Linguistics,1270,University of Maryland,Michael,,Fetters,1980230,1,good,TEACHER,PROFESSOR,5.0
Jewish Studies,1270,University of Maryland,Avital,,Feuer,2218073,1,poor,TEACHER,PROFESSOR,2.0
Mathematics,1270,University of Maryland,Gadi,,Fibich,2089273,1,average,TEACHER,PROFESSOR,3.0
Public Policy,1270,University of Maryland,Charles,,Field,1449361,2,poor,TEACHER,PROFESSOR,1.2
Architecture,1270,University of Maryland,Cynthia,,Field,2111403,2,poor,TEACHER,PROFESSOR,1.5
Computer Science,1270,University of Maryland,Jason,,Filippou,2177506,50,average,TEACHER,PROFESSOR,2.8
Accounting,1270,University of Maryland,Michael Leste,,Finch,1034569,13,average,TEACHER,PROFESSOR,2.8
English,1270,University of Maryland,Joanna,,Findlay,802634,10,average,TEACHER,PROFESSOR,2.7
Communication,1270,University of Maryland,ED,,Fink,778220,4,average,TEACHER,PROFESSOR,2.6
Education,1270,University of Maryland,Carolyn,,Fink,1688009,5,good,TEACHER,PROFESSOR,4.5
Economics,1270,University of Maryland,Aaron,,Finkle,2228844,16,good,TEACHER,PROFESSOR,4.4
Sociology,1270,University of Maryland,Kurt,,Finsterbusch,997240,12,average,TEACHER,PROFESSOR,3.0
Biology,1270,University of Maryland,Jeffery,,Firestone,1944413,7,average,TEACHER,PROFESSOR,3.0
Family Studies,1270,University of Maryland,Jessica,,Fish,2550416,2,good,TEACHER,PROFESSOR,4.5
Criminal Justice,1270,University of Maryland,Daren,,Fisher,2229875,5,good,TEACHER,PROFESSOR,4.2
Sociology,1270,University of Maryland,Dana,,Fisher,2119277,2,good,TEACHER,PROFESSOR,5.0
Bioengineering,1270,University of Maryland,John,,Fisher,2458324,2,good,TEACHER,PROFESSOR,4.0
Criminal Justice,1270,University of Maryland,Cortney,,Fisher,775272,30,average,TEACHER,PROFESSOR,3.1
Communication,1270,University of Maryland,Amy,,Fisher,2308098,9,good,TEACHER,PROFESSOR,4.7
Psychology,1270,University of Maryland,Megan,,Fitter,2660522,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Mark,,Fitzgerald,2241848,2,good,TEACHER,PROFESSOR,4.5
Communication,1270,University of Maryland,Megan,,Fitzmaurice,2056871,7,good,TEACHER,PROFESSOR,4.7
Mathematics,1270,University of Maryland,Peter,,Fitzpatrick,1258012,2,good,TEACHER,PROFESSOR,3.8
Mathematics,1270,University of Maryland,Mike,,Fitzpatrick,1282006,5,average,TEACHER,PROFESSOR,2.8
Journalism,1270,University of Maryland,Anne,,Farris-Rosen,2268694,4,good,TEACHER,PROFESSOR,3.5
Communication,1270,University of Maryland,Alyson,,Farzad,2262312,8,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Marsha,,Fausti,942820,7,poor,TEACHER,PROFESSOR,2.2
Mechanical Engineering,1270,University of Maryland,Mohammad,,Fazelpour,2435127,18,good,TEACHER,PROFESSOR,3.6
Public Policy,1270,University of Maryland,Mathew,,Feehan,2464845,4,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Brooke,,Feichtl,2241486,2,poor,TEACHER,PROFESSOR,1.5
Journalism,1270,University of Maryland,Hazel,,Feigenblatt,2656924,1,average,TEACHER,PROFESSOR,3.0
English Language & Literature,1270,University of Maryland,Merrill,,Feitell,1082847,4,good,TEACHER,PROFESSOR,4.8
Theater,1270,University of Maryland,Leslie,,Felbain,2125030,2,average,TEACHER,PROFESSOR,3.0
Health Science,1270,University of Maryland,R.,,Feldman,1123320,6,poor,TEACHER,PROFESSOR,2.2
Linguistics,1270,University of Maryland,Naomi,,Feldman,2684649,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Mark,,Feldstein,2495779,11,good,TEACHER,PROFESSOR,3.9
Information Science,1270,University of Maryland,Andrew,,Fellows,2778137,0,zero,TEACHER,PROFESSOR,N/A
Economics,1270,University of Maryland,Salih,,Fendoglu,1318048,3,good,TEACHER,PROFESSOR,4.7
Dance,1270,University of Maryland,Xuejuan,,Feng,1817807,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1270,University of Maryland,Ruyun,,Feng,2273554,4,good,TEACHER,PROFESSOR,5.0
Geography,1270,University of Maryland,Kuishuang,,Feng,2838487,1,good,TEACHER,PROFESSOR,4.0
Information Science,1270,University of Maryland,Katrina,,Fenlon,2499496,4,good,TEACHER,PROFESSOR,4.8
Biochemistry,1270,University of Maryland,Catherine,,Fenselau,1268402,1,poor,TEACHER,PROFESSOR,1.5
Biology,1270,University of Maryland,Charles,,Fenster,148357,11,average,TEACHER,PROFESSOR,2.9
Journalism,1270,University of Maryland,Constance,,Ford,2726117,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Barton,,Forman,2339077,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Giovanni,,Forni,1232660,12,poor,TEACHER,PROFESSOR,2.0
English,1270,University of Maryland,Mark,,Forrester,496581,12,good,TEACHER,PROFESSOR,4.8
Biology,1270,University of Maryland,Irwin,,Forseth,616747,3,good,TEACHER,PROFESSOR,3.5
Sociology,1270,University of Maryland,Nancy,,Forsythe,2064034,3,average,TEACHER,PROFESSOR,3.0
Computer Science,1270,University of Maryland,Jeff,,Foster,1459632,4,average,TEACHER,PROFESSOR,3.4
Journalism,1270,University of Maryland,Bobbie,,Foster,2659147,1,good,TEACHER,PROFESSOR,5.0
Communication,1270,University of Maryland,Daniel,,Foster,2313361,18,good,TEACHER,PROFESSOR,4.0
Information Science,1270,University of Maryland,Babak,,Fotouhi,2663536,6,poor,TEACHER,PROFESSOR,2.3
Mathematics,1270,University of Maryland,Kim,,Fouche,1787688,17,average,TEACHER,PROFESSOR,2.7
Business,1270,University of Maryland,Trevor,,Foulk,2336763,6,good,TEACHER,PROFESSOR,4.3
Chemistry,1270,University of Maryland,John,,Fourkas,1547725,4,good,TEACHER,PROFESSOR,4.9
Communication,1270,University of Maryland,Randall,,Fowler,2349591,7,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Nathan,,Fox,412180,8,poor,TEACHER,PROFESSOR,2.4
Communication,1270,University of Maryland,Lindsey,,Fox,1244961,4,good,TEACHER,PROFESSOR,4.4
Biology,1270,University of Maryland,Caitlin,,Fox,2418998,1,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Mariya,,Fox-Rabinovich,1918099,1,average,TEACHER,PROFESSOR,3.0
Geography,1270,University of Maryland,Belen,,Franch,2460218,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Theo,,Francis,1836362,0,zero,TEACHER,PROFESSOR,N/A
Physics,1270,University of Maryland,Manuel,,Franco Sevilla,2504137,4,good,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,Howard,,Frank,1583748,2,good,TEACHER,PROFESSOR,3.5
English,1270,University of Maryland,Zachary,,Frank,2605781,5,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Debbie,,Franklin,1245713,7,good,TEACHER,PROFESSOR,4.7
Mathematics,1270,University of Maryland,Deborah,,Franklin,2082473,2,good,TEACHER,PROFESSOR,4.8
Engineering,1270,University of Maryland,Manoj,,Franklin,133575,12,good,TEACHER,PROFESSOR,3.9
Communication,1270,University of Maryland,Julia,Daisy,Fraustino,1965652,2,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Kenneth,,Frauwirth,638658,20,good,TEACHER,PROFESSOR,3.6
Biology,1270,University of Maryland,Brenda,,Fredericksen,1345265,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1270,University of Maryland,Laurie,,Frederik-Meer,2384316,1,poor,TEACHER,PROFESSOR,2.0
Social Science,1270,University of Maryland,Nadine,,Frederique,1375325,3,good,TEACHER,PROFESSOR,4.8
Marketing,1270,University of Maryland,Judy,,Frels,2400172,1,poor,TEACHER,PROFESSOR,2.0
Journalism,1270,University of Maryland,Michael,,French,2213848,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,Kathleen,,Frey,1826653,1,good,TEACHER,PROFESSOR,4.5
Information Science,1270,University of Maryland,Dennis,,Frezzo,2708138,1,good,TEACHER,PROFESSOR,5.0
Information Science,1270,University of Maryland,Vanessa,,Frias-Martinez,2213708,4,good,TEACHER,PROFESSOR,4.0
Chemistry,1270,University of Maryland,Howard,,Fribush,560395,9,average,TEACHER,PROFESSOR,3.0
Government,1270,University of Maryland,Daniella,,Fridl,1402797,2,good,TEACHER,PROFESSOR,4.8
History,1270,University of Maryland,R,,Friedel,404817,14,average,TEACHER,PROFESSOR,2.8
History,1270,University of Maryland,Robert,,Friedel,2115154,1,average,TEACHER,PROFESSOR,3.0
English,1270,University of Maryland,Diana,,Friedman,2300242,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1270,University of Maryland,Suzanne,,Friedman,2662771,2,good,TEACHER,PROFESSOR,5.0
Kinesiology,1270,University of Maryland,Michael,,Friedman,2367924,9,average,TEACHER,PROFESSOR,2.9
Chemistry,1270,University of Maryland,Lee,,Friedman,1055530,116,average,TEACHER,PROFESSOR,3.2
Languages,1270,University of Maryland,Andrea,,Frisch,2235833,1,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Morgan,,Fritz,1550173,1,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Jonathan,B,Fritz,1803050,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1270,University of Maryland,Blake,,Fritz,2632880,2,poor,TEACHER,PROFESSOR,1.5
Education,1270,University of Maryland,Jenny,,Froh,1396501,0,zero,TEACHER,PROFESSOR,N/A
Public Health,1270,University of Maryland,Craig,Scott,Fryer,2373167,4,average,TEACHER,PROFESSOR,3.0
Journalism,1270,University of Maryland,Penny,,Fuchs,990873,4,good,TEACHER,PROFESSOR,4.0
Mechanical Engineering,1270,University of Maryland,Mark,D,Fuge,2657663,5,poor,TEACHER,PROFESSOR,1.8
English,1270,University of Maryland,April,,Fuller,2547926,0,zero,TEACHER,PROFESSOR,N/A
Finance,1270,University of Maryland,Kenneth,,Fuller,2597648,1,poor,TEACHER,PROFESSOR,2.0
Psychology,1270,University of Maryland,Ashley,,Fulmer,1635908,2,good,TEACHER,PROFESSOR,5.0
Dance,1270,University of Maryland,Carlos,,Funn,2330489,1,poor,TEACHER,PROFESSOR,1.0
Anthropology,1270,University of Maryland,Mary,,Furlong,1722764,2,good,TEACHER,PROFESSOR,4.2
Human Development,1270,University of Maryland,Jannah,,Fusenig,2673216,2,good,TEACHER,PROFESSOR,5.0
Not Specified,1270,University of Maryland,David,PhD,Fushman,1816428,2,poor,TEACHER,PROFESSOR,1.0
Communication,1270,University of Maryland,Michelle,,Futerfas,1898525,1,good,TEACHER,PROFESSOR,5.0
Information Science,1270,University of Maryland,Babak,,Fotouhi,2663536,8,poor,TEACHER,PROFESSOR,2.1
Mathematics,1270,University of Maryland,Kim,,Fouche,1787688,17,average,TEACHER,PROFESSOR,2.7
Business,1270,University of Maryland,Trevor,,Foulk,2336763,6,good,TEACHER,PROFESSOR,4.3
Chemistry,1270,University of Maryland,John,,Fourkas,1547725,4,good,TEACHER,PROFESSOR,4.9
Communication,1270,University of Maryland,Randall,,Fowler,2349591,7,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Nathan,,Fox,412180,8,poor,TEACHER,PROFESSOR,2.4
Communication,1270,University of Maryland,Lindsey,,Fox,1244961,4,good,TEACHER,PROFESSOR,4.4
Biology,1270,University of Maryland,Caitlin,,Fox,2418998,1,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Mariya,,Fox-Rabinovich,1918099,1,average,TEACHER,PROFESSOR,3.0
Geography,1270,University of Maryland,Belen,,Franch,2460218,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Theo,,Francis,1836362,0,zero,TEACHER,PROFESSOR,N/A
Physics,1270,University of Maryland,Manuel,,Franco Sevilla,2504137,4,good,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,Howard,,Frank,1583748,2,good,TEACHER,PROFESSOR,3.5
English,1270,University of Maryland,Zachary,,Frank,2605781,9,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Debbie,,Franklin,1245713,7,good,TEACHER,PROFESSOR,4.7
Mathematics,1270,University of Maryland,Deborah,,Franklin,2082473,2,good,TEACHER,PROFESSOR,4.8
Engineering,1270,University of Maryland,Manoj,,Franklin,133575,12,good,TEACHER,PROFESSOR,3.9
Communication,1270,University of Maryland,Julia,Daisy,Fraustino,1965652,2,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Kenneth,,Frauwirth,638658,21,good,TEACHER,PROFESSOR,3.6
Biology,1270,University of Maryland,Brenda,,Fredericksen,1345265,0,zero,TEACHER,PROFESSOR,N/A
History,1270,University of Maryland,James,,Gao,563330,11,average,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,Gordon,,Gao,932164,2,good,TEACHER,PROFESSOR,5.0
Information Science,1270,University of Maryland,Ge,,Gao,2638412,1,poor,TEACHER,PROFESSOR,2.0
Journalism,1270,University of Maryland,Marilyn,,Garateix,2263149,0,zero,TEACHER,PROFESSOR,N/A
Spanish,1270,University of Maryland,Macarena,,Garcia,1980969,5,good,TEACHER,PROFESSOR,4.2
Spanish,1270,University of Maryland,Ana Acedo,,Garcia,1240573,9,good,TEACHER,PROFESSOR,4.5
Business,1270,University of Maryland,Leland,,Gardner,723757,20,good,TEACHER,PROFESSOR,4.6
Education,1270,University of Maryland,Renee,L,Garraway,2619242,3,average,TEACHER,PROFESSOR,3.0
Computer Science,1270,University of Maryland,William,,Gasarch,2696148,0,zero,TEACHER,PROFESSOR,N/A
Dance,1270,University of Maryland,Barbara,,Gaskill,909564,11,poor,TEACHER,PROFESSOR,1.8
Economics,1270,University of Maryland,Darrell J.,,Gaskin,1250684,0,zero,TEACHER,PROFESSOR,N/A
Criminal Justice,1270,University of Maryland,Arnett,,Gaston,521903,70,good,TEACHER,PROFESSOR,4.5
Science,1270,University of Maryland,S. J.,,Gates,37190,4,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Quentin,,Gaudry,2702011,0,zero,TEACHER,PROFESSOR,N/A
Marketing,1270,University of Maryland,Bhalla,,Gaurav,2279233,1,poor,TEACHER,PROFESSOR,2.0
Fine Arts,1270,University of Maryland,Dawn,,Gavin,611033,11,good,TEACHER,PROFESSOR,4.3
Physics,1270,University of Maryland,Hailu,,Gebremariam,2493245,23,poor,TEACHER,PROFESSOR,2.1
Architecture,1270,University of Maryland,Matthew,,Geiss,2303450,6,average,TEACHER,PROFESSOR,2.8
Psychology,1270,University of Maryland,Michelle,,Gelfand,131458,6,good,TEACHER,PROFESSOR,4.6
Chemistry,1270,University of Maryland,Aaron,,Geller,2223467,11,good,TEACHER,PROFESSOR,4.8
Psychology,1270,University of Maryland,Charlie,,Gelso,1101330,10,good,TEACHER,PROFESSOR,4.5
Business,1270,University of Maryland,Oguz,,Gencay,2844728,0,zero,TEACHER,PROFESSOR,N/A
Art History,1270,University of Maryland,Maryl,,Gensheimer,1876576,10,good,TEACHER,PROFESSOR,3.8
Art History,1270,University of Maryland,Maryl,,Genshimer,2821744,0,zero,TEACHER,PROFESSOR,N/A
Art History,1270,University of Maryland,Madeline,,Gent,1714460,1,good,TEACHER,PROFESSOR,5.0
Geography,1270,University of Maryland,Martha,,Geores,984280,3,average,TEACHER,PROFESSOR,2.7
Art History,1270,University of Maryland,Aneta,,Georgievska-Shine,1289031,9,good,TEACHER,PROFESSOR,3.7
Business,1270,University of Maryland,Michael,A,Geppi,1768089,8,good,TEACHER,PROFESSOR,3.9
Theater,1270,University of Maryland,Jenna,,Gerdsen,2726328,1,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Pamela,,Gerhardt,856414,8,good,TEACHER,PROFESSOR,4.2
Business,1270,University of Maryland,Jennifer,,Gershberg,2251883,8,average,TEACHER,PROFESSOR,3.3
Art History,1270,University of Maryland,Sharon,,Gerstel,410806,4,good,TEACHER,PROFESSOR,4.4
Psychology,1270,University of Maryland,Judy,,Gerstenblith,2666941,2,good,TEACHER,PROFESSOR,4.5
Anthropology,1270,University of Maryland,Christina,,Getrich,2106830,7,good,TEACHER,PROFESSOR,4.8
Geography,1270,University of Maryland,Ralph,,Getzandanner,2701851,2,good,TEACHER,PROFESSOR,5.0
Astronomy,1270,University of Maryland,Suvi,,Gezari,2086058,5,average,TEACHER,PROFESSOR,2.6
Economics,1270,University of Maryland,Alka,,Ghandi,1293366,6,poor,TEACHER,PROFESSOR,1.9
Mathematics,1270,University of Maryland,Amin,,Gholampour,1837803,22,good,TEACHER,PROFESSOR,4.6
Anthropology,1270,University of Maryland,Kevin,,Gibbons,2571796,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,Jennifer,,Gibbs,1299471,6,good,TEACHER,PROFESSOR,4.2
Education,1270,University of Maryland,S.,,Gibson,978768,2,average,TEACHER,PROFESSOR,3.0
Music,1270,University of Maryland,Robert,,Gibson,1394070,1,poor,TEACHER,PROFESSOR,1.0
English,1270,University of Maryland,Amanda,,Giffi,1747798,2,average,TEACHER,PROFESSOR,3.2
Finance,1270,University of Maryland,Garrett,,Gilbert,1917527,0,zero,TEACHER,PROFESSOR,N/A
Information Science,1270,University of Maryland,Sarah,,Gilbert,2493390,4,average,TEACHER,PROFESSOR,3.0
Anthropology,1270,University of Maryland,Laura,,Gilchrest,2675490,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Douglas,,Gill,899072,3,average,TEACHER,PROFESSOR,3.0
Art History,1270,University of Maryland,Meredith,,Gill,2433580,1,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Maggie,,Gill,2438097,1,good,TEACHER,PROFESSOR,4.0
Mathematics,1270,University of Maryland,Stephen,,Gilles,2215105,4,good,TEACHER,PROFESSOR,3.7
Science,1270,University of Maryland,Curtis,,Gilliam,1317658,3,good,TEACHER,PROFESSOR,4.7
Environmental Science,1270,University of Maryland,Lauren,,Gilmartin,2474706,1,poor,TEACHER,PROFESSOR,2.0
Language Arts,1270,University of Maryland,Meg,,Gilmore,1193718,0,zero,TEACHER,PROFESSOR,N/A
Government,1270,University of Maryland,James,G,Gimpel,2238126,6,average,TEACHER,PROFESSOR,3.0
Theater,1270,University of Maryland,Brittany,,Ginder,2717884,0,zero,TEACHER,PROFESSOR,N/A
Kinesiology,1270,University of Maryland,Drew,,Ginsberg,2436703,9,good,TEACHER,PROFESSOR,5.0
Leadership,1270,University of Maryland,Corin,,Gioia,1581951,1,good,TEACHER,PROFESSOR,4.0
History,1270,University of Maryland,Saverio,,Giovacchini,1520828,4,good,TEACHER,PROFESSOR,3.9
Philosophy,1270,University of Maryland,Kelsey,,Gipe,2051922,7,average,TEACHER,PROFESSOR,3.4
Physics,1270,University of Maryland,MIichelle,,Girvan,2450187,1,good,TEACHER,PROFESSOR,5.0
Physics,1270,University of Maryland,Michelle,,Girvan,2451294,3,good,TEACHER,PROFESSOR,4.7
Physics,1270,University of Maryland,Michele,,Girvin,1223699,2,average,TEACHER,PROFESSOR,3.0
Languages,1270,University of Maryland,peter,,glanville,2402895,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1270,University of Maryland,Erica,,Glasper,2143329,0,zero,TEACHER,PROFESSOR,N/A
Government,1270,University of Maryland,James,,Glass,1225094,19,average,TEACHER,PROFESSOR,3.4
Fine Arts,1270,University of Maryland,Erin,,Glasspatrick,1655358,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1270,University of Maryland,H.,,Glaz,791122,15,poor,TEACHER,PROFESSOR,1.2
Natural Resources,1270,University of Maryland,Scott,,Glenn,928536,8,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Charles,,Glover,852288,3,poor,TEACHER,PROFESSOR,2.3
Biology,1270,University of Maryland,Thomas ,c,Gluick,2029969,3,poor,TEACHER,PROFESSOR,1.3
Spanish,1270,University of Maryland,Doug,,Glynn,2038892,7,good,TEACHER,PROFESSOR,4.0
Agriculture,1270,University of Maryland,Paul,,Goeringer,2680466,0,zero,TEACHER,PROFESSOR,N/A
Education,1270,University of Maryland,Imani,,Goffney,2726037,1,average,TEACHER,PROFESSOR,3.0
Environmental Science,1270,University of Maryland,Joanna,,Goger,2015356,22,good,TEACHER,PROFESSOR,4.5
Classics,1270,University of Maryland,Madeleine,,Goh,2317610,8,good,TEACHER,PROFESSOR,4.3
Information Science,1270,University of Maryland,Jennifer,,Golbeck,375083,28,good,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,Hunt K.,,Gold,1319224,8,poor,TEACHER,PROFESSOR,1.4
Public Health,1270,University of Maryland,Robert,,Gold,2403424,1,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Ceil,,Goldberg,1035154,13,average,TEACHER,PROFESSOR,2.7
Economics,1270,University of Maryland,Jessica,,Goldberg,2109583,5,poor,TEACHER,PROFESSOR,1.7
Art History,1270,University of Maryland,Madeline,,Gent,1714460,1,good,TEACHER,PROFESSOR,5.0
Geography,1270,University of Maryland,Martha,,Geores,984280,3,average,TEACHER,PROFESSOR,2.7
Art History,1270,University of Maryland,Aneta,,Georgievska-Shine,1289031,10,good,TEACHER,PROFESSOR,3.8
Business,1270,University of Maryland,Michael,A,Geppi,1768089,8,good,TEACHER,PROFESSOR,3.9
Theater,1270,University of Maryland,Jenna,,Gerdsen,2726328,1,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Pamela,,Gerhardt,856414,8,good,TEACHER,PROFESSOR,4.2
Business,1270,University of Maryland,Jennifer,,Gershberg,2251883,8,average,TEACHER,PROFESSOR,3.3
Art History,1270,University of Maryland,Sharon,,Gerstel,410806,4,good,TEACHER,PROFESSOR,4.4
Psychology,1270,University of Maryland,Judy,,Gerstenblith,2666941,2,good,TEACHER,PROFESSOR,4.5
Anthropology,1270,University of Maryland,Christina,,Getrich,2106830,8,good,TEACHER,PROFESSOR,4.8
Geography,1270,University of Maryland,Ralph,,Getzandanner,2701851,2,good,TEACHER,PROFESSOR,5.0
Astronomy,1270,University of Maryland,Suvi,,Gezari,2086058,5,average,TEACHER,PROFESSOR,2.6
Economics,1270,University of Maryland,Alka,,Ghandi,1293366,6,poor,TEACHER,PROFESSOR,1.9
Mathematics,1270,University of Maryland,Amin,,Gholampour,1837803,25,good,TEACHER,PROFESSOR,4.6
Human Development,1270,University of Maryland,Rachel,,Ghosh,2803254,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1270,University of Maryland,Kevin,,Gibbons,2571796,2,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,Jennifer,,Gibbs,1299471,6,good,TEACHER,PROFESSOR,4.2
Education,1270,University of Maryland,S.,,Gibson,978768,2,average,TEACHER,PROFESSOR,3.0
Music,1270,University of Maryland,Robert,,Gibson,1394070,2,average,TEACHER,PROFESSOR,3.0
English,1270,University of Maryland,Amanda,,Giffi,1747798,2,average,TEACHER,PROFESSOR,3.2
Finance,1270,University of Maryland,Garrett,,Gilbert,1917527,0,zero,TEACHER,PROFESSOR,N/A
Information Science,1270,University of Maryland,Sarah,,Gilbert,2493390,4,average,TEACHER,PROFESSOR,3.0
